,Date,Predictions,Model
0,2021-02-02,134.99000549316406,Tree Model
1,2021-02-03,133.94000244140622,Tree Model
2,2021-02-04,122.05999755859376,Tree Model
3,2021-02-05,125.86000061035156,Tree Model
4,2021-02-08,136.91000366210938,Tree Model
5,2021-02-09,125.86000061035156,Tree Model
6,2021-02-10,135.38999938964844,Tree Model
7,2021-02-11,121.19000244140624,Tree Model
8,2021-02-12,135.3699951171875,Tree Model
9,2021-02-16,125.86000061035156,Tree Model
10,2021-02-17,121.0999984741211,Tree Model
11,2021-02-18,136.91000366210938,Tree Model
12,2021-02-19,129.8699951171875,Tree Model
13,2021-02-22,136.91000366210938,Tree Model
14,2021-02-23,125.86000061035156,Tree Model
15,2021-02-24,125.3499984741211,Tree Model
16,2021-02-25,120.98999786376952,Tree Model
17,2021-02-26,136.91000366210938,Tree Model
18,2021-03-01,127.79000091552734,Tree Model
19,2021-03-02,125.12000274658205,Tree Model
20,2021-03-03,122.05999755859376,Tree Model
21,2021-03-04,125.86000061035156,Tree Model
22,2021-03-05,121.41999816894531,Tree Model
23,2021-03-08,116.36000061035156,Tree Model
24,2021-03-09,121.95999908447266,Tree Model
25,2021-03-10,121.95999908447266,Tree Model
26,2021-03-11,121.95999908447266,Tree Model
27,2021-03-12,121.02999877929688,Tree Model
28,2021-03-15,125.86000061035156,Tree Model
29,2021-03-16,125.56999969482422,Tree Model
0,2021-02-16 00:00:00,133.19000244140625,Actual Close Price
1,2021-02-17 00:00:00,130.83999633789062,Actual Close Price
2,2021-02-18 00:00:00,129.7100067138672,Actual Close Price
3,2021-02-19 00:00:00,129.8699951171875,Actual Close Price
4,2021-02-22 00:00:00,126.0,Actual Close Price
5,2021-02-23 00:00:00,125.86000061035156,Actual Close Price
6,2021-02-24 00:00:00,125.3499984741211,Actual Close Price
7,2021-02-25 00:00:00,120.98999786376953,Actual Close Price
8,2021-02-26 00:00:00,121.26000213623047,Actual Close Price
9,2021-03-01 00:00:00,127.79000091552734,Actual Close Price
10,2021-03-02 00:00:00,125.12000274658203,Actual Close Price
11,2021-03-03 00:00:00,122.05999755859375,Actual Close Price
12,2021-03-04 00:00:00,120.12999725341797,Actual Close Price
13,2021-03-05 00:00:00,121.41999816894531,Actual Close Price
14,2021-03-08 00:00:00,116.36000061035156,Actual Close Price
15,2021-03-09 00:00:00,121.08999633789062,Actual Close Price
16,2021-03-10 00:00:00,119.9800033569336,Actual Close Price
17,2021-03-11 00:00:00,121.95999908447266,Actual Close Price
18,2021-03-12 00:00:00,121.02999877929688,Actual Close Price
19,2021-03-15 00:00:00,123.98999786376953,Actual Close Price
20,2021-03-16 00:00:00,125.56999969482422,Actual Close Price
21,2021-03-17 00:00:00,125.2300033569336,Actual Close Price
0,2021-02-02,133.61891111982305,Linear Regression Model
1,2021-02-03,131.49800573185482,Linear Regression Model
2,2021-02-04,133.1302682756936,Linear Regression Model
3,2021-02-05,136.92504747235844,Linear Regression Model
4,2021-02-08,135.96855948452986,Linear Regression Model
5,2021-02-09,137.01861332829878,Linear Regression Model
6,2021-02-10,141.92582360602626,Linear Regression Model
7,2021-02-11,140.03362946680204,Linear Regression Model
8,2021-02-12,138.83802344801563,Linear Regression Model
9,2021-02-16,137.76717190381638,Linear Regression Model
10,2021-02-17,134.3570787771241,Linear Regression Model
11,2021-02-18,136.02052993960964,Linear Regression Model
12,2021-02-19,131.4356205625626,Linear Regression Model
13,2021-02-22,135.92696408366928,Linear Regression Model
14,2021-02-23,137.10178826602268,Linear Regression Model
15,2021-02-24,133.91001546985794,Linear Regression Model
16,2021-02-25,133.7228837579772,Linear Regression Model
17,2021-02-26,135.8957754650225,Linear Regression Model
18,2021-03-01,133.83724731434785,Linear Regression Model
19,2021-03-02,131.99703949420078,Linear Regression Model
20,2021-03-03,132.7144094510715,Linear Regression Model
21,2021-03-04,137.0809905655924,Linear Regression Model
22,2021-03-05,142.11295531790697,Linear Regression Model
23,2021-03-08,144.4002264453202,Linear Regression Model
24,2021-03-09,148.40291919029883,Linear Regression Model
25,2021-03-10,148.65244400347044,Linear Regression Model
26,2021-03-11,147.5088084397638,Linear Regression Model
27,2021-03-12,142.34168243064832,Linear Regression Model
28,2021-03-15,137.0082224100823,Linear Regression Model
29,2021-03-16,139.274679973068,Linear Regression Model
683,2021-02-16 00:00:00,138.59517,Long Short-Term Memory
684,2021-02-17 00:00:00,138.2563,Long Short-Term Memory
685,2021-02-18 00:00:00,137.6268,Long Short-Term Memory
686,2021-02-19 00:00:00,136.81433,Long Short-Term Memory
687,2021-02-22 00:00:00,136.00838000000002,Long Short-Term Memory
688,2021-02-23 00:00:00,134.87708999999998,Long Short-Term Memory
689,2021-02-24 00:00:00,133.71716,Long Short-Term Memory
690,2021-02-25 00:00:00,132.59575,Long Short-Term Memory
691,2021-02-26 00:00:00,131.15666000000002,Long Short-Term Memory
692,2021-03-01 00:00:00,129.76953,Long Short-Term Memory
693,2021-03-02 00:00:00,129.20854,Long Short-Term Memory
694,2021-03-03 00:00:00,128.78717,Long Short-Term Memory
695,2021-03-04 00:00:00,128.21426,Long Short-Term Memory
696,2021-03-05 00:00:00,127.45773999999999,Long Short-Term Memory
697,2021-03-08 00:00:00,126.83004,Long Short-Term Memory
698,2021-03-09 00:00:00,125.78821,Long Short-Term Memory
699,2021-03-10 00:00:00,125.17613,Long Short-Term Memory
700,2021-03-11 00:00:00,124.673744,Long Short-Term Memory
701,2021-03-12 00:00:00,124.50398999999999,Long Short-Term Memory
702,2021-03-15 00:00:00,124.41226999999999,Long Short-Term Memory
703,2021-03-16 00:00:00,124.69518000000001,Long Short-Term Memory
